NIT;Razon_Social;Resolucion;Fecha
890315540;PRODUCTOS YUPI S.A.;974;7/29/1987
860037740;TEXTILES DORAL LTDA;756;6/15/1987
890503314;CERAMICA ITALIA S.A.;478;4/28/1987
890906904;SIMEX S.A.;979;7/29/1987
890928257;ALICO S.A;971;7/29/1987
890804199;PRODUCTORA DE ALAMBRES COLOMBIANOS S.A. PROALCO;144;2/12/1987
890803029;RAYOVAC - VARTA S.A.;481;4/28/1987
890900081;AUTOLARTE S.A.;745;6/15/1987
860033058;BEDA BOGOTA LTDA AGENCIA CORDEL;284;3/16/1987
860035047;INTERAMERICANA DE PRODUCTOS QUIMICOS S.A. INTERQUIN;494;4/28/1987
860039540;JUANBE S.A.;1010;7/30/1987
860070078;IMCOLMEDICA LTDA;487;4/28/1987
891300241;MANUELITA S.A.;1320;10/01/1987
891401705;INGENIO RISARALDA S.A.;1317;10/01/1987
860001152;PATRON Y CIA LIMITADA;368;4/06/1988
860001498;LEGISLACION ECONOMICA S.A;360;4/05/1988
860000065;PANTECNICA S.A.;1568;12/06/1988
860028580;DISTRIBUIDORA DE PAPELES S.A. DISPAPELES;989;8/24/1988
860050777;TEKNO LTDA DISTRIBUCIONES;1392;11/03/1988
860019205;ALIMENTOS CONCENTRADOS RAZA S.A.;454;4/27/1988
860004902;PAPELERIA FAENZA S.A.;1393;11/03/1988
860009397;FARMA DE COLOMBIA S.A.;370;4/06/1988
890200474;INCUBADORA SANTANDER S.A.;296;3/16/1988
860002392;MERCK SHARP & DOHME COLOMBIA S.A.S.;1394;11/03/1988
860517608;METAZA S.A.;1806;12/30/1988
890901271;PRODUCTORA DE ALIMENTOS CONCENTRADOS PARA ANIMALES - CONTEGRAL S.A.;1396;11/03/1988
890903471;EMPRESA DE REFRACTARIOS COLOMBIANOS S.A.;359;4/05/1988
890903711;"PROCESADORA DE LECHES S.A. ""PROLECHE""";357;4/05/1988
890907681;COMERCIAL DE EMPAQUES Y PAPELES S.A. COPAQUES;1435;11/11/1988
890301680;MOTORES DEL VALLE MOTOVALLE LTDA;686;6/20/1988
890302608;COLOMBIANA DE ADHESIVOS COLDESIVOS S.A.;1802;12/30/1988
890305795;B.D. F. COLOMBIA S.A.;594;5/31/1988
890800413;"HERRAMIENTAS AGRICOLAS S.A. ""HERRAGRO""";802;7/14/1988
890801770;CASA RESTREPO S.A.;1547;12/01/1988
890916911;INDUSTRIA COLOMBIANA DE MOTOCICLETAS YAMAHA S.A.;820;7/19/1988
890806999;ARMETALES LIMITADA;1433;11/18/1988
890900098;LANDERS Y CIA S.A.;489;5/05/1988
890903937;BANCO CORPBANCA;1572;12/06/1988
890932389;TERNIUM COLOMBIA SAS (FERRASA);358;4/05/1988
890101279;MILHEM CONTINENTE S.A.;1619;12/11/1989
800015615;MARPICO S.A.;889;8/10/1989
800000946;PROCTER & GAMBLE COLOMBIA LTDA.;1713;12/27/1989
860002120;I B M DE COLOMBIA & CIA SCA;1720;12/27/1989
860001022;CASA EDITORIAL EL TIEMPO LTDA;560;6/01/1989
860000258;COMPAÑIA MANUFACTURERA DE PAN COMAPAN LTDA.;882;8/10/1989
860000753;BOEHRINGER INGELHEIM S.A.;1096;9/21/1989
860058029;TRANSPORTADORA LA DANIA S.A.;1362;11/01/1989
860026895;"CARBONE RODRIGUEZ & CIA S.C.A. ITALCOL ""ITALCOL S.C.A.""";1712;12/27/1989
860027917;"INDUSTRIA COLOMBIANA DE TAPAS LIMITADA ""INCOLTAPAS""";888;8/10/1989
860028581;XEROX DE COLOMBIA S.A.;286;3/16/1989
860029978;S.C. JOHNSON Y SON COLOMBIANA S.A.;1359;11/01/1989
860049921;S.G.S. COLOMBIA S.A.;1100;9/21/1989
860025285;ERICSSON DE COLOMBIA S.A.;375;4/10/1989
860025639;MELCO DE COLOMBIA LIMITADA;1094;9/21/1989
890925215;"PRODUCTOS AUTOADHESIVOS ARCLA S.A.""ARCLAD S.A.""";880;8/10/1989
890300234;ASHE & CIA. LTDA;376;4/10/1989
890101553;JANSSEN CILAG S.A.;1091;9/21/1989
890801748;MABE COLOMBIA S.A.;1092;9/21/1989
860003003;LISTER PETTER DIESEL S.A.;703;6/30/1989
860515402;LEXCO S.A.;1099;9/21/1989
890901110;CON-CONCRETO INGENIEROS CIVILES S.A.;1716;12/27/1989
890300794;PLASTICOS RIMAX S.A.;1360;11/01/1989
890304375;INDUGRAFICAS S.A.;212;3/02/1989
890700179;COMPANIA AUTOMOTORA DEL TOLIMA COLTOLIMA LTDA;1618;12/11/1989
890707192;SUCAMPO SULLANTA S.A.;1719;12/27/1989
890801783;PROPAGANDA SANCHO S.A.;410;4/14/1989
890802651;COLOMBIANA DE AUTOS S.A.;565;6/01/1989
890319047;CARVAJAL EMPAQUES S.A.;213;3/02/1989
890317178;DIMADERAS SANTA LUCIA S.A.S.;1609;12/11/1989
860069804;CARBONES DEL CERREJON LIMITED;218;3/02/1989
890941663;DISTRIBUIDORA PASTEUR LTDA (DISPASTEUR);1366;11/01/1989
890805453;TECNOLOGIA EN CUBRIMIENTO S.A.;219;3/02/1989
860034604;AUTOMAYOR S.A.;887;8/10/1989
891100247;CAESCA S.A.;702;6/30/1989
899999002;EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A. VECOL;1358;11/01/1989
891900129;CARLOS SARMIENTO L. Y CIA INGENIO SANCARLOS S.A.;1361;11/01/1989
860002026;PDC VINOS Y LICORES LTDA.;1102;9/21/1989
800020220;AGRO INDUSTRIAL MOLINO SONORA A.P. SA;1731;11/13/1990
800019615;SYMRISE LTDA;1725;11/13/1990
